id,title,cluster_id
1,A Micro Lesson on how to brag without being a jerk,4
2,A Micro Lesson on the power of praise,4
3,A Micro Lesson on how to give criticism,11
4,A micro lesson on expectations and contrast for persuasion,8
5,A micro lesson in changing what people want,3
6,A Micro Lesson on waking up on time,5
7,A micro lesson on the Mind-reader Persuasion Trick,8
8,A Micro Lesson on the simplest magic trick for kids,5
9,A Micro Lesson on finding a mentor,11
10,"A micro lesson on the word ""botched"" as persuasion",8
11,A micro lesson on creating a diet system for yourself,9
12,"A micro lesson on the ""fake because"" and the Persuasion Filter",8
13,A Micro Lesson on paying attention (focus),13
14,A Micro Lesson on finding meaning (in life),4
15,A Micro Lesson on Avoiding Backward Pitches,8
16,A Micro Lesson on how to know you live in a software simulation,2
17,A Micro Lesson on spotting the illusions holding you back,12
18,A Micro Lesson on the TV Executive Enthusiasm Prediction Model,8
19,A Micro Lesson on Life's Illusions,6
20,A Micro Lesson on conflict resolution,13
21,A Micro Lesson on being more productive,13
22,"A Micro Lesson on testing your product, service, or art",6
23,A Micro Lesson on the subjectivity of data,8
24,Micro Lesson in spotting “thinking past the sale”,8
25,A Micro Lesson on How to Create Luck,2
26,A Micro Lesson on Systems versus Goals,6
27,A Micro Lesson on using the Energy Filter to predict,2
28,A Micro Lesson on personality as a chemical experiment,9
29,Micro Lesson on using your imagination to steer your future,2
30,A Micro Lesson on how to make friends,3
31,A Micro Lesson on using trees to reduce stress,10
32,A Micro Lesson on creating a viral hashtag such as #BidenRiots,11
33,"A Micro Lesson on managing your ""flow""",13
34,A micro lesson on using diversion as persuasion,11
35,A Micro Lesson on time management persuasion,13
36,"A Micro Lesson on ""Persuasion voice""",8
37,A Micro Lesson on Effectively Naming things for persuasion,7
38,A Micro Lesson on being non-judgmental,3
39,A Micro Lesson on handling unpleasant tasks with no extra unpleasantness,9
40,A Micro Lesson on systems for being on time,0
41,A Micro Lesson on how to predict,11
42,Trying to keep up with my neighbor and failing,3
43,Micro Lesson on creating ideas,2
44,A Micro Lesson on the success secrets of The Beatles,2
45,A Micro Lesson on how to focus,13
46,Micro Lesson on cartooning technology,14
47,Micro Lesson on how to persuasively say no,8
48,"A Micro Lesson on maintaining creative ""flow""",14
49,A Micro Lesson on motivating employees,13
50,A Micro Lesson on getting video lighting right,6
51,A Micro Lesson on good versus great,11
52,A Micro Lesson on programming your own brain,2
53,A Micro Lesson on spotting cognitive dissonance,1
54,A Micro Lesson on reframing stress and anxiety,1
55,A micro lesson on when to trust experts,6
56,A micro lesson on asking for what you want,11
57,A micro lesson on food persuasion,9
58,Hypnotist Diet Plan,5
59,A Micro Lesson on handling grief,9
60,A Micro Lesson on persuasive voice technique,8
61,A Micro Lesson on the first sentence,7
62,A Micro Lesson on navigating the five Love Languages,9
63,A Micro Lesson on controlling the controllable,4
64,A Micro Lesson on Reframing Your PTSD As a Superpower,1
65,A Micro Lesson on Reframing Despair/Sadness,1
66,A Micro Lesson on Giving and Getting Compliments,4
67,A Micro Lesson on the six signals for bad grammar,8
68,A Micro Lesson on Prophesy vs Plan,2
69,A Micro Lesson on programming yourself for good habits,10
70,A Micro Lesson on turning work into fun,6
71,A Micro Lesson on priorities for success,6
72,Micro Lesson on home efficiency,13
73,A Micro Lesson on using imagination to fuel your success,2
74,Micro lesson on knowing who you are,9
75,"Micro Lesson: Obesity Is An Information Problem, Not a Willpower Problem",6
76,A Micro Lesson on Simplifying,10
77,A micro lesson on success strategies,6
78,Micro Lesson on career decisions,6
79,A Micro Lesson on making women cum (tips from a hypnotist),5
80,A Micro Lesson on your Value versus your Usefulness,4
81,A Micro Lesson on levels of awareness,8
82,A Micro Lesson on Talking Like a Hypnotist,8
83,A Micro Lesson on how to know your product or idea is special or not,8
84,A Micro Lesson on the power of momentum,13
85,Micro lesson on portion control and diet,9
86,A Micro Lesson on persuasive word and phrases,8
87,Micro Lesson on curing social anxiety,4
88,Micro Lesson on making money from nothing,6
89,Micro Lesson on making money without money,6
90,Micro Lesson on reframing reality,1
91,Micro Lesson on Survivor's Guilt,1
92,A Micro Lesson on practicing the non-obvious,6
93,How to twirl a drumstick,12
94,A Micro Lesson on fixing everything,7
95,Micro lesson on air fryers,0
96,A Micro Lesson on taking a mental vacation,1
97,Micro Lesson on Psychological Blindness and magic tricks,5
98,A Micro Lesson on confidence,4
99,Micro Lesson on not trusting meta studies,0
100,A Whiteboard Micro Lesson: War With China,6
101,A Micro Lesson on Triggers and Frames,1
102,Micro Lesson on picking the best filter on reality,1
103,Micro Lesson on gamifying boring chores,2
104,Micro Lesson: HOAX Creation,7
105,Micro Lesson: Brainwashing Versus Hypnosis,5
106,A Micro Lesson on reframing the coldness,1
107,"A Micro Lesson on increasing your ""willpower""",3
108,A Micro Lesson on how practice works,2
109,A Micro Lesson on learning something new,12
110,A Micro Lesson on getting rid of unwanted thoughts,5
111,A Micro Lesson on beating procrastination,2
112,A Micro Lesson on Solar energy economics,6
113,A Micro Lesson on talking sexy like a hypnotist,4
114,Episode 2012 EXCERPT - 7 Tells For Cognitive Dissonance,8
115,Episode 2012 EXCERPT - Predictions and Forecasts,2
116,A Micro Lesson on beating Writers Block,11
117,Micro Lesson on AI now and soon,2
118,Micro Lesson on removing emotion from a negotiation,11
